Date,State,Petrol_Rate,Prev_Petrol,Change_Rate,Source
2026-06-15,Maharashtra,102.86,102.86,0,https://www.goodreturns.in/petrol-price-in-maharashtra-s17.html
2026-06-15,Manipur,115.49,115.49,0,https://www.goodreturns.in/petrol-price-in-manipur-s18.html
2026-06-15,Meghalaya,114.45,114.45,0,https://www.goodreturns.in/petrol-price-in-meghalaya-s19.html
2026-06-15,Mizoram,111.18,111.18,0,https://www.goodreturns.in/petrol-price-in-mizoram-s20.html
2026-06-15,Nagaland,106.95,106.95,0,https://www.goodreturns.in/petrol-price-in-nagaland-s21.html
2026-06-15,Odisha,102.59,102.59,0,https://www.goodreturns.in/petrol-price-in-odisha-s22.html
2026-06-15,Punjab,105.52,105.52,0,https://www.goodreturns.in/petrol-price-in-punjab-s23.html
2026-06-15,Rajasthan,103.96,103.96,0,https://www.goodreturns.in/petrol-price-in-rajasthan-s24.html
2026-06-15,Sikkim,108.89,108.89,0,https://www.goodreturns.in/petrol-price-in-sikkim-s25.html
2026-06-15,Tamil Nadu,103.65,103.65,0,https://www.goodreturns.in/petrol-price-in-tamil-nadu-s26.html
2026-06-15,Telangana,105.56,105.56,0,https://www.goodreturns.in/petrol-price-in-telangana-s27.html
2026-06-15,Tripura,113.15,113.15,0,https://www.goodreturns.in/petrol-price-in-tripura-s28.html
2026-06-15,Uttar Pradesh,110.95,110.95,0,https://www.goodreturns.in/petrol-price-in-uttar-pradesh-s29.html
2026-06-15,Uttarakhand,100.85,100.85,0,https://www.goodreturns.in/petrol-price-in-uttarakhand-s30.html
2026-06-15,West Bengal,115.69,115.69,0,https://www.goodreturns.in/petrol-price-in-west-bengal-s31.html
2026-06-16,Andhra Pradesh,117.48,117.48,0,https://www.goodreturns.in/petrol-price-in-andhra-pradesh-s2.html
2026-06-16,Arunachal Pradesh,97.81,97.81,0,https://www.goodreturns.in/petrol-price-in-arunachal-pradesh-s3.html
2026-06-16,Assam,105.79,105.79,0,https://www.goodreturns.in/petrol-price-in-assam-s4.html
2026-06-16,Bihar,114.24,114.24,0,https://www.goodreturns.in/petrol-price-in-bihar-s5.html
2026-06-16,Chhattisgarh,101.54,101.54,0,https://www.goodreturns.in/petrol-price-in-chhattisgarh-s6.html
2026-06-16,Delhi,96.72,96.72,0,https://www.goodreturns.in/petrol-price-in-delhi-s10.html
2026-06-16,Goa,108.06,108.06,0,https://www.goodreturns.in/petrol-price-in-goa-s7.html
2026-06-16,Gujarat,99.5,99.5,0,https://www.goodreturns.in/petrol-price-in-gujarat-s8.html
2026-06-16,Haryana,99.5,99.5,0,https://www.goodreturns.in/petrol-price-in-haryana-s9.html
2026-06-16,Himachal Pradesh,104.19,104.19,0,https://www.goodreturns.in/petrol-price-in-himachal-pradesh-s11.html
2026-06-16,Jammu & Kashmir,101.96,101.96,0,https://www.goodreturns.in/petrol-price-in-jammu-kashmir-s12.html
2026-06-16,Jharkhand,103.28,103.28,0,https://www.goodreturns.in/petrol-price-in-jharkhand-s13.html
2026-06-16,Karnataka,102.55,102.55,0,https://www.goodreturns.in/petrol-price-in-karnataka-s14.html
2026-06-16,Kerala,104.13,104.13,0,https://www.goodreturns.in/petrol-price-in-kerala-s15.html
2026-06-16,Madhya Pradesh,105.26,105.26,0,https://www.goodreturns.in/petrol-price-in-madhya-pradesh-s16.html
2026-06-16,Maharashtra,102.86,102.86,0,https://www.goodreturns.in/petrol-price-in-maharashtra-s17.html
2026-06-16,Manipur,115.49,115.49,0,https://www.goodreturns.in/petrol-price-in-manipur-s18.html
2026-06-16,Meghalaya,114.45,114.45,0,https://www.goodreturns.in/petrol-price-in-meghalaya-s19.html
2026-06-16,Mizoram,111.18,111.18,0,https://www.goodreturns.in/petrol-price-in-mizoram-s20.html
2026-06-16,Nagaland,106.95,106.95,0,https://www.goodreturns.in/petrol-price-in-nagaland-s21.html
2026-06-16,Odisha,102.59,102.59,0,https://www.goodreturns.in/petrol-price-in-odisha-s22.html
2026-06-16,Punjab,105.52,105.52,0,https://www.goodreturns.in/petrol-price-in-punjab-s23.html
2026-06-16,Rajasthan,103.96,103.96,0,https://www.goodreturns.in/petrol-price-in-rajasthan-s24.html
2026-06-16,Sikkim,108.89,108.89,0,https://www.goodreturns.in/petrol-price-in-sikkim-s25.html
2026-06-16,Tamil Nadu,103.65,103.65,0,https://www.goodreturns.in/petrol-price-in-tamil-nadu-s26.html
2026-06-16,Telangana,105.56,105.56,0,https://www.goodreturns.in/petrol-price-in-telangana-s27.html
2026-06-16,Tripura,113.15,113.15,0,https://www.goodreturns.in/petrol-price-in-tripura-s28.html
2026-06-16,Uttar Pradesh,110.95,110.95,0,https://www.goodreturns.in/petrol-price-in-uttar-pradesh-s29.html
2026-06-16,Uttarakhand,100.85,100.85,0,https://www.goodreturns.in/petrol-price-in-uttarakhand-s30.html
2026-06-16,West Bengal,115.69,115.69,0,https://www.goodreturns.in/petrol-price-in-west-bengal-s31.html
2026-06-17,Andhra Pradesh,117.48,117.48,0,https://www.goodreturns.in/petrol-price-in-andhra-pradesh-s2.html
2026-06-17,Arunachal Pradesh,97.7,97.81,-0.11,https://www.goodreturns.in/petrol-price-in-arunachal-pradesh-s3.html
2026-06-17,Assam,106.27,105.79,0.48,https://www.goodreturns.in/petrol-price-in-assam-s4.html
2026-06-17,Bihar,113.65,114.24,-0.59,https://www.goodreturns.in/petrol-price-in-bihar-s5.html
2026-06-17,Chhattisgarh,101.54,101.54,0,https://www.goodreturns.in/petrol-price-in-chhattisgarh-s6.html
2026-06-17,Delhi,102.12,96.72,5.4,https://www.goodreturns.in/petrol-price-in-delhi-s10.html
2026-06-17,Goa,108.16,108.06,0.1,https://www.goodreturns.in/petrol-price-in-goa-s7.html
2026-06-17,Gujarat,99.44,99.5,-0.06,https://www.goodreturns.in/petrol-price-in-gujarat-s8.html
2026-06-17,Haryana,99.44,99.5,-0.06,https://www.goodreturns.in/petrol-price-in-haryana-s9.html
2026-06-17,Himachal Pradesh,104,104.19,-0.19,https://www.goodreturns.in/petrol-price-in-himachal-pradesh-s11.html
2026-06-17,Jammu & Kashmir,102.08,101.96,0.12,https://www.goodreturns.in/petrol-price-in-jammu-kashmir-s12.html
2026-06-17,Jharkhand,103.28,103.28,0,https://www.goodreturns.in/petrol-price-in-jharkhand-s13.html
2026-06-17,Karnataka,102.45,102.55,-0.1,https://www.goodreturns.in/petrol-price-in-karnataka-s14.html
2026-06-17,Kerala,104.1,104.13,-0.03,https://www.goodreturns.in/petrol-price-in-kerala-s15.html
2026-06-17,Madhya Pradesh,105.26,105.26,0,https://www.goodreturns.in/petrol-price-in-madhya-pradesh-s16.html
2026-06-17,Maharashtra,110.89,102.86,8.03,https://www.goodreturns.in/petrol-price-in-maharashtra-s17.html
2026-06-17,Manipur,115.49,115.49,0,https://www.goodreturns.in/petrol-price-in-manipur-s18.html
2026-06-17,Meghalaya,114.45,114.45,0,https://www.goodreturns.in/petrol-price-in-meghalaya-s19.html
2026-06-17,Mizoram,111.21,111.18,0.03,https://www.goodreturns.in/petrol-price-in-mizoram-s20.html
2026-06-17,Nagaland,106.82,106.95,-0.13,https://www.goodreturns.in/petrol-price-in-nagaland-s21.html
2026-06-17,Odisha,102.59,102.59,0,https://www.goodreturns.in/petrol-price-in-odisha-s22.html
2026-06-17,Punjab,106.39,105.52,0.87,https://www.goodreturns.in/petrol-price-in-punjab-s23.html
2026-06-17,Rajasthan,103.96,103.96,0,https://www.goodreturns.in/petrol-price-in-rajasthan-s24.html
2026-06-17,Sikkim,109.06,108.89,0.17,https://www.goodreturns.in/petrol-price-in-sikkim-s25.html
2026-06-17,Tamil Nadu,103.65,103.65,0,https://www.goodreturns.in/petrol-price-in-tamil-nadu-s26.html
2026-06-17,Telangana,105.42,105.56,-0.14,https://www.goodreturns.in/petrol-price-in-telangana-s27.html
2026-06-17,Tripura,112.69,113.15,-0.46,https://www.goodreturns.in/petrol-price-in-tripura-s28.html
2026-06-17,Uttar Pradesh,110.95,110.95,0,https://www.goodreturns.in/petrol-price-in-uttar-pradesh-s29.html
2026-06-17,Uttarakhand,108.01,100.85,7.16,https://www.goodreturns.in/petrol-price-in-uttarakhand-s30.html
2026-06-17,West Bengal,115.73,115.69,0.04,https://www.goodreturns.in/petrol-price-in-west-bengal-s31.html
2026-06-18,Andhra Pradesh,117.78,117.48,0.3,https://www.goodreturns.in/petrol-price-in-andhra-pradesh-s2.html
2026-06-18,Arunachal Pradesh,97.7,97.7,0,https://www.goodreturns.in/petrol-price-in-arunachal-pradesh-s3.html
2026-06-18,Assam,105.79,106.27,-0.48,https://www.goodreturns.in/petrol-price-in-assam-s4.html
2026-06-18,Bihar,113.35,113.65,-0.3,https://www.goodreturns.in/petrol-price-in-bihar-s5.html
2026-06-18,Chhattisgarh,101.54,101.54,0,https://www.goodreturns.in/petrol-price-in-chhattisgarh-s6.html
2026-06-18,Delhi,102.12,102.12,0,https://www.goodreturns.in/petrol-price-in-delhi-s10.html
2026-06-18,Goa,108.06,108.16,-0.1,https://www.goodreturns.in/petrol-price-in-goa-s7.html
2026-06-18,Gujarat,99.5,99.44,0.06,https://www.goodreturns.in/petrol-price-in-gujarat-s8.html
2026-06-18,Haryana,99.5,99.44,0.06,https://www.goodreturns.in/petrol-price-in-haryana-s9.html
2026-06-18,Himachal Pradesh,104.11,104,0.11,https://www.goodreturns.in/petrol-price-in-himachal-pradesh-s11.html
2026-06-18,Jammu & Kashmir,102.24,102.08,0.16,https://www.goodreturns.in/petrol-price-in-jammu-kashmir-s12.html
2026-06-18,Jharkhand,103.28,103.28,0,https://www.goodreturns.in/petrol-price-in-jharkhand-s13.html
2026-06-18,Karnataka,102.55,102.45,0.1,https://www.goodreturns.in/petrol-price-in-karnataka-s14.html
2026-06-18,Kerala,104.1,104.1,0,https://www.goodreturns.in/petrol-price-in-kerala-s15.html
2026-06-18,Madhya Pradesh,105.93,105.26,0.67,https://www.goodreturns.in/petrol-price-in-madhya-pradesh-s16.html
2026-06-18,Maharashtra,110.89,110.89,0,https://www.goodreturns.in/petrol-price-in-maharashtra-s17.html
2026-06-18,Manipur,115.49,115.49,0,https://www.goodreturns.in/petrol-price-in-manipur-s18.html
2026-06-18,Meghalaya,114.45,114.45,0,https://www.goodreturns.in/petrol-price-in-meghalaya-s19.html
2026-06-18,Mizoram,111.18,111.21,-0.03,https://www.goodreturns.in/petrol-price-in-mizoram-s20.html
2026-06-18,Nagaland,106.95,106.82,0.13,https://www.goodreturns.in/petrol-price-in-nagaland-s21.html
2026-06-18,Odisha,102.56,102.59,-0.03,https://www.goodreturns.in/petrol-price-in-odisha-s22.html
2026-06-18,Punjab,106.39,106.39,0,https://www.goodreturns.in/petrol-price-in-punjab-s23.html
2026-06-18,Rajasthan,104.85,103.96,0.89,https://www.goodreturns.in/petrol-price-in-rajasthan-s24.html
2026-06-18,Sikkim,109.22,109.06,0.16,https://www.goodreturns.in/petrol-price-in-sikkim-s25.html
2026-06-18,Tamil Nadu,103.58,103.65,-0.07,https://www.goodreturns.in/petrol-price-in-tamil-nadu-s26.html
2026-06-18,Telangana,105.56,105.42,0.14,https://www.goodreturns.in/petrol-price-in-telangana-s27.html
2026-06-18,Tripura,112.66,112.69,-0.03,https://www.goodreturns.in/petrol-price-in-tripura-s28.html
2026-06-18,Uttar Pradesh,110.95,110.95,0,https://www.goodreturns.in/petrol-price-in-uttar-pradesh-s29.html
2026-06-18,Uttarakhand,107.88,108.01,-0.13,https://www.goodreturns.in/petrol-price-in-uttarakhand-s30.html
2026-06-18,West Bengal,115.73,115.73,0,https://www.goodreturns.in/petrol-price-in-west-bengal-s31.html
2026-06-19,Andhra Pradesh,117.68,117.78,-0.1,https://www.goodreturns.in/petrol-price-in-andhra-pradesh-s2.html
2026-06-19,Arunachal Pradesh,98.04,97.7,0.34,https://www.goodreturns.in/petrol-price-in-arunachal-pradesh-s3.html
2026-06-19,Assam,105.94,105.79,0.15,https://www.goodreturns.in/petrol-price-in-assam-s4.html
2026-06-19,Bihar,113.46,113.35,0.11,https://www.goodreturns.in/petrol-price-in-bihar-s5.html
2026-06-19,Chhattisgarh,101.54,101.54,0,https://www.goodreturns.in/petrol-price-in-chhattisgarh-s6.html
2026-06-19,Delhi,96.72,102.12,-5.4,https://www.goodreturns.in/petrol-price-in-delhi-s10.html
2026-06-19,Goa,108.06,108.06,0,https://www.goodreturns.in/petrol-price-in-goa-s7.html
2026-06-19,Gujarat,99.5,99.5,0,https://www.goodreturns.in/petrol-price-in-gujarat-s8.html
2026-06-19,Haryana,99.5,99.5,0,https://www.goodreturns.in/petrol-price-in-haryana-s9.html
2026-06-19,Himachal Pradesh,104.06,104.11,-0.05,https://www.goodreturns.in/petrol-price-in-himachal-pradesh-s11.html
2026-06-19,Jammu & Kashmir,101.96,102.24,-0.28,https://www.goodreturns.in/petrol-price-in-jammu-kashmir-s12.html
2026-06-19,Jharkhand,103.28,103.28,0,https://www.goodreturns.in/petrol-price-in-jharkhand-s13.html
2026-06-19,Karnataka,102.58,102.55,0.03,https://www.goodreturns.in/petrol-price-in-karnataka-s14.html
2026-06-19,Kerala,104.1,104.1,0,https://www.goodreturns.in/petrol-price-in-kerala-s15.html
2026-06-19,Madhya Pradesh,105.26,105.93,-0.67,https://www.goodreturns.in/petrol-price-in-madhya-pradesh-s16.html
2026-06-19,Maharashtra,102.86,110.89,-8.03,https://www.goodreturns.in/petrol-price-in-maharashtra-s17.html
2026-06-19,Manipur,115.49,115.49,0,https://www.goodreturns.in/petrol-price-in-manipur-s18.html
2026-06-19,Meghalaya,114.45,114.45,0,https://www.goodreturns.in/petrol-price-in-meghalaya-s19.html
2026-06-19,Mizoram,111.18,111.18,0,https://www.goodreturns.in/petrol-price-in-mizoram-s20.html
2026-06-19,Nagaland,106.82,106.95,-0.13,https://www.goodreturns.in/petrol-price-in-nagaland-s21.html
2026-06-19,Odisha,102.59,102.56,0.03,https://www.goodreturns.in/petrol-price-in-odisha-s22.html
2026-06-19,Punjab,105.52,106.39,-0.87,https://www.goodreturns.in/petrol-price-in-punjab-s23.html
2026-06-19,Rajasthan,104.39,104.85,-0.46,https://www.goodreturns.in/petrol-price-in-rajasthan-s24.html
2026-06-19,Sikkim,108.81,109.22,-0.41,https://www.goodreturns.in/petrol-price-in-sikkim-s25.html
2026-06-19,Tamil Nadu,103.72,103.58,0.14,https://www.goodreturns.in/petrol-price-in-tamil-nadu-s26.html
2026-06-19,Telangana,105.49,105.56,-0.07,https://www.goodreturns.in/petrol-price-in-telangana-s27.html
2026-06-19,Tripura,112.66,112.66,0,https://www.goodreturns.in/petrol-price-in-tripura-s28.html
2026-06-19,Uttar Pradesh,110.95,110.95,0,https://www.goodreturns.in/petrol-price-in-uttar-pradesh-s29.html
2026-06-19,Uttarakhand,100.85,107.88,-7.03,https://www.goodreturns.in/petrol-price-in-uttarakhand-s30.html
2026-06-19,West Bengal,115.73,115.73,0,https://www.goodreturns.in/petrol-price-in-west-bengal-s31.html
2026-06-20,Andhra Pradesh,117.68,117.68,0,https://www.goodreturns.in/petrol-price-in-andhra-pradesh-s2.html
